City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
218,Yeppoon,AU,2022-09-22 17:06:12,-23.1333,150.7333,67.78,75,0,4.94
219,Rocha,UY,2022-09-22 17:07:13,-34.4833,-54.3333,53.35,61,100,11.88
220,Nouadhibou,MR,2022-09-22 17:07:13,20.931,-17.0347,72.66,97,100,6.82
221,Lakes Entrance,AU,2022-09-22 17:07:14,-37.8811,147.981,56.16,83,100,2.53
222,Lasa,IT,2022-09-22 17:07:14,46.6166,10.7002,52.7,71,5,2.44
223,Aklavik,CA,2022-09-22 17:07:15,68.2191,-135.0107,37.24,94,100,9.55
224,Tommot,RU,2022-09-22 17:07:15,58.9564,126.2925,29.84,97,100,1.59
225,Navirai,BR,2022-09-22 17:07:15,-23.065,-54.1906,64.56,80,97,10.09
226,Cabo San Lucas,MX,2022-09-22 17:06:27,22.8909,-109.9124,88.61,72,0,4.61
227,Nome,US,2022-09-22 17:07:16,64.5011,-165.4064,44.67,93,100,13.8
228,Tilichiki,RU,2022-09-22 17:07:16,60.4667,166.1,34.11,86,88,6.82
229,Corigliano Calabro,IT,2022-09-22 17:07:17,39.595,16.5177,64.47,55,26,3.62
230,Warmbad,NA,2022-09-22 17:07:18,-28.45,18.7333,69.49,15,0,18.07
231,Deputatskiy,RU,2022-09-22 17:07:18,69.3,139.9,18.93,94,78,6.64
232,Hithadhoo,MV,2022-09-22 17:07:19,-0.6,73.0833,82.76,69,11,11.56
233,Changli,CN,2022-09-22 17:07:19,39.7042,119.1506,53.89,25,81,17.27
234,Jacareacanga,BR,2022-09-22 17:07:19,-6.2222,-57.7528,96.85,32,76,2.77
235,Skjervoy,NO,2022-09-22 17:07:20,70.0311,20.9714,50.0,82,100,9.64
236,Hilo,US,2022-09-22 17:07:21,19.7297,-155.09,78.28,87,100,7.0
237,Sembakung,ID,2022-09-22 17:07:21,3.8167,117.25,73.27,96,93,2.08
238,Oranjemund,NA,2022-09-22 17:07:22,-28.55,16.4333,57.81,76,7,7.58
239,Waipawa,NZ,2022-09-22 17:07:22,-41.4122,175.5153,48.63,95,100,14.16
240,Obo,CF,2022-09-22 17:07:23,5.3998,26.4869,73.65,87,77,4.47
241,Roald,NO,2022-09-22 17:07:23,62.5833,6.1333,59.16,77,75,4.61
242,Srednekolymsk,RU,2022-09-22 17:07:24,67.45,153.6833,34.86,81,100,13.78
243,Krasnyy Oktyabr,RU,2022-09-22 17:07:24,56.1167,38.8833,50.59,91,100,5.21
244,Malayal,PH,2022-09-22 17:07:24,7.208,121.942,79.88,83,100,1.16
245,Mantua,IT,2022-09-22 17:07:25,45.1667,10.7833,67.24,56,30,1.99
246,Hobyo,SO,2022-09-22 17:07:25,5.3505,48.5268,76.73,88,69,21.36
